国家名称,指标名称,年份,数值
欧洲和中亚（IDA和IBRD国家）,农业增加值（占GDP的百分比）,1972,
欧洲和中亚（IDA和IBRD国家）,人均二氧化碳排放量 (公吨),1972,
欧洲和中亚（IDA和IBRD国家）,金融部门提供的国内信贷（占GDP的百分比）,1972,27.91199723
欧洲和中亚（IDA和IBRD国家）,人均电力消费量 (千瓦时),1972,
欧洲和中亚（IDA和IBRD国家）,能源使用量（每人当量千克石油）,1972,
欧洲和中亚（IDA和IBRD国家）,商品和服务出口（占GDP的百分比）,1972,
欧洲和中亚（IDA和IBRD国家）,总生育率，每位女性的出生数,1972,2.740353267
欧洲和中亚（IDA和IBRD国家）,GDP增长率（年百分比）,1972,
欧洲和中亚（IDA和IBRD国家）,商品和服务进口（占GDP的百分比）,1972,
欧洲和中亚（IDA和IBRD国家）,工业，增加值（占GDP的百分比）,1972,
欧洲和中亚（IDA和IBRD国家）,通货膨胀率，GDP平减指数（年百分比）,1972,
欧洲和中亚（IDA和IBRD国家）,出生时预期寿命，总年数,1972,66.68177763
欧洲和中亚（IDA和IBRD国家）,人口密度 (每平方公里土地面积的人数),1972,15.59132151
欧洲和中亚（IDA和IBRD国家）,服务业等增加值（占GDP的百分比）,1972,
欧洲联盟,农业增加值（占GDP的百分比）,1972,
欧洲联盟,人均二氧化碳排放量 (公吨),1972,8.947012725139999
欧洲联盟,金融部门提供的国内信贷（占GDP的百分比）,1972,60.56102163439999
欧洲联盟,人均电力消费量 (千瓦时),1972,3148.358279
欧洲联盟,能源使用量（每人当量千克石油）,1972,3014.11091
欧洲联盟,商品和服务出口（占GDP的百分比）,1972,19.74195143
欧洲联盟,总生育率，每位女性的出生数,1972,2.22065302
欧洲联盟,GDP增长率（年百分比）,1972,4.720514774
欧洲联盟,商品和服务进口（占GDP的百分比）,1972,19.806594519100003
欧洲联盟,工业，增加值（占GDP的百分比）,1972,
欧洲联盟,通货膨胀率，GDP平减指数（年百分比）,1972,7.094684733
欧洲联盟,出生时预期寿命，总年数,1972,71.41381483
欧洲联盟,人口密度 (每平方公里土地面积的人数),1972,106.212743
欧洲联盟,服务业等增加值（占GDP的百分比）,1972,
脆弱和冲突影响情况,农业增加值（占GDP的百分比）,1972,
脆弱和冲突影响情况,人均二氧化碳排放量 (公吨),1972,0.5979359284820001
脆弱和冲突影响情况,金融部门提供的国内信贷（占GDP的百分比）,1972,25.900453835700002
脆弱和冲突影响情况,人均电力消费量 (千瓦时),1972,147.98738453200002
脆弱和冲突影响情况,能源使用量（每人当量千克石油）,1972,386.754635
脆弱和冲突影响情况,商品和服务出口（占GDP的百分比）,1972,
脆弱和冲突影响情况,总生育率，每位女性的出生数,1972,6.720353315
脆弱和冲突影响情况,GDP增长率（年百分比）,1972,
脆弱和冲突影响情况,商品和服务进口（占GDP的百分比）,1972,
脆弱和冲突影响情况,工业，增加值（占GDP的百分比）,1972,
脆弱和冲突影响情况,通货膨胀率，GDP平减指数（年百分比）,1972,4.809316279
脆弱和冲突影响情况,出生时预期寿命，总年数,1972,47.752351312200005
脆弱和冲突影响情况,人口密度 (每平方公里土地面积的人数),1972,10.91667885
脆弱和冲突影响情况,服务业等增加值（占GDP的百分比）,1972,
重债穷国（HIPC）,农业增加值（占GDP的百分比）,1972,36.65477797
重债穷国（HIPC）,人均二氧化碳排放量 (公吨),1972,0.217965364
重债穷国（HIPC）,金融部门提供的国内信贷（占GDP的百分比）,1972,20.48395816
重债穷国（HIPC）,人均电力消费量 (千瓦时),1972,
重债穷国（HIPC）,能源使用量（每人当量千克石油）,1972,
重债穷国（HIPC）,商品和服务出口（占GDP的百分比）,1972,20.58251155
重债穷国（HIPC）,总生育率，每位女性的出生数,1972,6.878285055189999
重债穷国（HIPC）,GDP增长率（年百分比）,1972,1.7653775515099999
重债穷国（HIPC）,商品和服务进口（占GDP的百分比）,1972,23.10161702
重债穷国（HIPC）,工业，增加值（占GDP的百分比）,1972,21.623942885599998
重债穷国（HIPC）,通货膨胀率，GDP平减指数（年百分比）,1972,4.974395468
重债穷国（HIPC）,出生时预期寿命，总年数,1972,44.48976966
重债穷国（HIPC）,人口密度 (每平方公里土地面积的人数),1972,11.12215537
重债穷国（HIPC）,服务业等增加值（占GDP的百分比）,1972,41.72363204
高收入国家,农业增加值（占GDP的百分比）,1972,
高收入国家,人均二氧化碳排放量 (公吨),1972,11.60262469
高收入国家,金融部门提供的国内信贷（占GDP的百分比）,1972,94.95450336
高收入国家,人均电力消费量 (千瓦时),1972,4511.740911
高收入国家,能源使用量（每人当量千克石油）,1972,4136.306296
高收入国家,商品和服务出口（占GDP的百分比）,1972,15.42507504
高收入国家,总生育率，每位女性的出生数,1972,2.30838128
高收入国家,GDP增长率（年百分比）,1972,5.562473443
高收入国家,商品和服务进口（占GDP的百分比）,1972,14.75151405
高收入国家,工业，增加值（占GDP的百分比）,1972,
高收入国家,通货膨胀率，GDP平减指数（年百分比）,1972,6.803554264
高收入国家,出生时预期寿命，总年数,1972,71.1366673
高收入国家,人口密度 (每平方公里土地面积的人数),1972,24.83728324
高收入国家,服务业等增加值（占GDP的百分比）,1972,
仅IBRD,农业增加值（占GDP的百分比）,1972,26.22858091
仅IBRD,人均二氧化碳排放量 (公吨),1972,1.7336239458000002
仅IBRD,金融部门提供的国内信贷（占GDP的百分比）,1972,35.38607684
仅IBRD,人均电力消费量 (千瓦时),1972,272.8131521
仅IBRD,能源使用量（每人当量千克石油）,1972,522.4625725
仅IBRD,商品和服务出口（占GDP的百分比）,1972,9.104590339
仅IBRD,总生育率，每位女性的出生数,1972,4.867428329
仅IBRD,GDP增长率（年百分比）,1972,6.736477072
仅IBRD,商品和服务进口（占GDP的百分比）,1972,9.112595981
仅IBRD,工业，增加值（占GDP的百分比）,1972,36.24337449
仅IBRD,通货膨胀率，GDP平减指数（年百分比）,1972,7.249232479510001
仅IBRD,出生时预期寿命，总年数,1972,58.21193614
仅IBRD,人口密度 (每平方公里土地面积的人数),1972,35.536069322399996
仅IBRD,服务业等增加值（占GDP的百分比）,1972,37.75119775
IDA和IBRD总计,农业增加值（占GDP的百分比）,1972,26.873337965100003
IDA和IBRD总计,人均二氧化碳排放量 (公吨),1972,1.4806953927000002
IDA和IBRD总计,金融部门提供的国内信贷（占GDP的百分比）,1972,34.08367247
IDA和IBRD总计,人均电力消费量 (千瓦时),1972,239.47148527299998
IDA和IBRD总计,能源使用量（每人当量千克石油）,1972,493.31074618199995
IDA和IBRD总计,商品和服务出口（占GDP的百分比）,1972,9.4917304
IDA和IBRD总计,总生育率，每位女性的出生数,1972,5.198232117
IDA和IBRD总计,GDP增长率（年百分比）,1972,6.175660281569999
IDA和IBRD总计,商品和服务进口（占GDP的百分比）,1972,9.725334349
IDA和IBRD总计,工业，增加值（占GDP的百分比）,1972,35.480867116700004
IDA和IBRD总计,通货膨胀率，GDP平减指数（年百分比）,1972,6.350062031
IDA和IBRD总计,出生时预期寿命，总年数,1972,56.32688604
IDA和IBRD总计,人口密度 (每平方公里土地面积的人数),1972,31.29709171
IDA和IBRD总计,服务业等增加值（占GDP的百分比）,1972,37.85925217
国际开发协会混合,农业增加值（占GDP的百分比）,1972,
国际开发协会混合,人均二氧化碳排放量 (公吨),1972,0.792725098
国际开发协会混合,金融部门提供的国内信贷（占GDP的百分比）,1972,29.26224634
国际开发协会混合,人均电力消费量 (千瓦时),1972,84.91228693
国际开发协会混合,能源使用量（每人当量千克石油）,1972,402.7050578
国际开发协会混合,商品和服务出口（占GDP的百分比）,1972,13.71789961
国际开发协会混合,总生育率，每位女性的出生数,1972,6.291961652
国际开发协会混合,GDP增长率（年百分比）,1972,3.2355041195200003
国际开发协会混合,商品和服务进口（占GDP的百分比）,1972,17.10289216
国际开发协会混合,工业，增加值（占GDP的百分比）,1972,
国际开发协会混合,通货膨胀率，GDP平减指数（年百分比）,1972,7.427774078
国际开发协会混合,出生时预期寿命，总年数,1972,52.70298342
国际开发协会混合,人口密度 (每平方公里土地面积的人数),1972,31.830240106199998
国际开发协会混合,服务业等增加值（占GDP的百分比）,1972,
仅限国际开发协会,农业增加值（占GDP的百分比）,1972,
仅限国际开发协会,人均二氧化碳排放量 (公吨),1972,0.20923301569400002
仅限国际开发协会,金融部门提供的国内信贷（占GDP的百分比）,1972,23.403894579099997
仅限国际开发协会,人均电力消费量 (千瓦时),1972,74.91127477
仅限国际开发协会,能源使用量（每人当量千克石油）,1972,317.3858341
仅限国际开发协会,商品和服务出口（占GDP的百分比）,1972,16.813243338699998
仅限国际开发协会,总生育率，每位女性的出生数,1972,6.805754306130001
仅限国际开发协会,GDP增长率（年百分比）,1972,-0.46057769
仅限国际开发协会,商品和服务进口（占GDP的百分比）,1972,20.60855539
仅限国际开发协会,工业，增加值（占GDP的百分比）,1972,
仅限国际开发协会,通货膨胀率，GDP平减指数（年百分比）,1972,4.402019652
仅限国际开发协会,出生时预期寿命，总年数,1972,45.988638688900004
仅限国际开发协会,人口密度 (每平方公里土地面积的人数),1972,17.37290123
仅限国际开发协会,服务业等增加值（占GDP的百分比）,1972,
国际开发协会总额,农业增加值（占GDP的百分比）,1972,
国际开发协会总额,人均二氧化碳排放量 (公吨),1972,0.42702524682099996
国际开发协会总额,金融部门提供的国内信贷（占GDP的百分比）,1972,26.309297937600004
国际开发协会总额,人均电力消费量 (千瓦时),1972,79.25045129
国际开发协会总额,能源使用量（每人当量千克石油）,1972,354.15698453699997
国际开发协会总额,商品和服务出口（占GDP的百分比）,1972,15.24770106
国际开发协会总额,总生育率，每位女性的出生数,1972,6.615232368559999
国际开发协会总额,GDP增长率（年百分比）,1972,1.511836805
国际开发协会总额,商品和服务进口（占GDP的百分比）,1972,18.835484464300002
国际开发协会总额,工业，增加值（占GDP的百分比）,1972,
国际开发协会总额,通货膨胀率，GDP平减指数（年百分比）,1972,5.272462058
国际开发协会总额,出生时预期寿命，总年数,1972,48.50615726310001
国际开发协会总额,人口密度 (每平方公里土地面积的人数),1972,20.93002961
国际开发协会总额,服务业等增加值（占GDP的百分比）,1972,
后期人口红利,农业增加值（占GDP的百分比）,1972,26.749894404099997
后期人口红利,人均二氧化碳排放量 (公吨),1972,2.144314868
后期人口红利,金融部门提供的国内信贷（占GDP的百分比）,1972,
后期人口红利,人均电力消费量 (千瓦时),1972,310.8063395
后期人口红利,能源使用量（每人当量千克石油）,1972,615.3023242
后期人口红利,商品和服务出口（占GDP的百分比）,1972,8.501862532
后期人口红利,总生育率，每位女性的出生数,1972,4.518262823
后期人口红利,GDP增长率（年百分比）,1972,8.283806883
后期人口红利,商品和服务进口（占GDP的百分比）,1972,8.118302195639998
后期人口红利,工业，增加值（占GDP的百分比）,1972,40.64561334
后期人口红利,通货膨胀率，GDP平减指数（年百分比）,1972,6.413089159019999
后期人口红利,出生时预期寿命，总年数,1972,62.08576786
后期人口红利,人口密度 (每平方公里土地面积的人数),1972,31.46127574
后期人口红利,服务业等增加值（占GDP的百分比）,1972,32.60193303
拉丁美洲和加勒比地区,农业增加值（占GDP的百分比）,1972,12.752124121300001
拉丁美洲和加勒比地区,人均二氧化碳排放量 (公吨),1972,1.8663177998500002
拉丁美洲和加勒比地区,金融部门提供的国内信贷（占GDP的百分比）,1972,33.67903695
拉丁美洲和加勒比地区,人均电力消费量 (千瓦时),1972,529.657675
拉丁美洲和加勒比地区,能源使用量（每人当量千克石油）,1972,835.1486917
拉丁美洲和加勒比地区,商品和服务出口（占GDP的百分比）,1972,11.13117886
拉丁美洲和加勒比地区,总生育率，每位女性的出生数,1972,5.103403172
拉丁美洲和加勒比地区,GDP增长率（年百分比）,1972,7.196389682
拉丁美洲和加勒比地区,商品和服务进口（占GDP的百分比）,1972,12.52965623
拉丁美洲和加勒比地区,工业，增加值（占GDP的百分比）,1972,36.38757623
拉丁美洲和加勒比地区,通货膨胀率，GDP平减指数（年百分比）,1972,6.958653657839999
拉丁美洲和加勒比地区,出生时预期寿命，总年数,1972,61.26356613
拉丁美洲和加勒比地区,人口密度 (每平方公里土地面积的人数),1972,15.067451321199998
拉丁美洲和加勒比地区,服务业等增加值（占GDP的百分比）,1972,50.86100777
拉丁美洲和加勒比地区（不包括高收入国家）,农业增加值（占GDP的百分比）,1972,13.061269606199998
拉丁美洲和加勒比地区（不包括高收入国家）,人均二氧化碳排放量 (公吨),1972,1.775129429
拉丁美洲和加勒比地区（不包括高收入国家）,金融部门提供的国内信贷（占GDP的百分比）,1972,32.94180091
拉丁美洲和加勒比地区（不包括高收入国家）,人均电力消费量 (千瓦时),1972,514.3762231
拉丁美洲和加勒比地区（不包括高收入国家）,能源使用量（每人当量千克石油）,1972,807.7868387
拉丁美洲和加勒比地区（不包括高收入国家）,商品和服务出口（占GDP的百分比）,1972,10.613691363300001
拉丁美洲和加勒比地区（不包括高收入国家）,总生育率，每位女性的出生数,1972,5.211261088
拉丁美洲和加勒比地区（不包括高收入国家）,GDP增长率（年百分比）,1972,7.602575172
拉丁美洲和加勒比地区（不包括高收入国家）,商品和服务进口（占GDP的百分比）,1972,11.643099982799999
拉丁美洲和加勒比地区（不包括高收入国家）,工业，增加值（占GDP的百分比）,1972,36.05346083
拉丁美洲和加勒比地区（不包括高收入国家）,通货膨胀率，GDP平减指数（年百分比）,1972,6.958653657839999
拉丁美洲和加勒比地区（不包括高收入国家）,出生时预期寿命，总年数,1972,60.965609651099996
拉丁美洲和加勒比地区（不包括高收入国家）,人口密度 (每平方公里土地面积的人数),1972,14.90464321
拉丁美洲和加勒比地区（不包括高收入国家）,服务业等增加值（占GDP的百分比）,1972,50.886017779300005
拉丁美洲和加勒比地区（IDA和IBRD国家）,农业增加值（占GDP的百分比）,1972,12.86398558
拉丁美洲和加勒比地区（IDA和IBRD国家）,人均二氧化碳排放量 (公吨),1972,1.82207759
拉丁美洲和加勒比地区（IDA和IBRD国家）,金融部门提供的国内信贷（占GDP的百分比）,1972,33.631429670100005
拉丁美洲和加勒比地区（IDA和IBRD国家）,人均电力消费量 (千瓦时),1972,528.1777577930001
拉丁美洲和加勒比地区（IDA和IBRD国家）,能源使用量（每人当量千克石油）,1972,807.0435961
拉丁美洲和加勒比地区（IDA和IBRD国家）,商品和服务出口（占GDP的百分比）,1972,10.45026855
拉丁美洲和加勒比地区（IDA和IBRD国家）,总生育率，每位女性的出生数,1972,5.174192665
拉丁美洲和加勒比地区（IDA和IBRD国家）,GDP增长率（年百分比）,1972,7.259119185860001
拉丁美洲和加勒比地区（IDA和IBRD国家）,商品和服务进口（占GDP的百分比）,1972,11.444587716600001
拉丁美洲和加勒比地区（IDA和IBRD国家）,工业，增加值（占GDP的百分比）,1972,36.380322658800004
拉丁美洲和加勒比地区（IDA和IBRD国家）,通货膨胀率，GDP平减指数（年百分比）,1972,7.368975185
拉丁美洲和加勒比地区（IDA和IBRD国家）,出生时预期寿命，总年数,1972,60.84773319
拉丁美洲和加勒比地区（IDA和IBRD国家）,人口密度 (每平方公里土地面积的人数),1972,14.53431303
拉丁美洲和加勒比地区（IDA和IBRD国家）,服务业等增加值（占GDP的百分比）,1972,50.75641972
最不发达国家：联合国分类,农业增加值（占GDP的百分比）,1972,
最不发达国家：联合国分类,人均二氧化碳排放量 (公吨),1972,0.152786208
最不发达国家：联合国分类,金融部门提供的国内信贷（占GDP的百分比）,1972,17.28581118
最不发达国家：联合国分类,人均电力消费量 (千瓦时),1972,56.952910788400004
最不发达国家：联合国分类,能源使用量（每人当量千克石油）,1972,311.0156436
最不发达国家：联合国分类,商品和服务出口（占GDP的百分比）,1972,
最不发达国家：联合国分类,总生育率，每位女性的出生数,1972,6.7578093810699995
最不发达国家：联合国分类,GDP增长率（年百分比）,1972,
最不发达国家：联合国分类,商品和服务进口（占GDP的百分比）,1972,
最不发达国家：联合国分类,工业，增加值（占GDP的百分比）,1972,
最不发达国家：联合国分类,通货膨胀率，GDP平减指数（年百分比）,1972,4.809316279
最不发达国家：联合国分类,出生时预期寿命，总年数,1972,44.65072746
最不发达国家：联合国分类,人口密度 (每平方公里土地面积的人数),1972,16.05216032
最不发达国家：联合国分类,服务业等增加值（占GDP的百分比）,1972,
低中等收入,农业增加值（占GDP的百分比）,1972,27.03643856
低中等收入,人均二氧化碳排放量 (公吨),1972,1.347624195
低中等收入,金融部门提供的国内信贷（占GDP的百分比）,1972,33.86996543
低中等收入,人均电力消费量 (千瓦时),1972,217.7887336
低中等收入,能源使用量（每人当量千克石油）,1972,469.8178729
低中等收入,商品和服务出口（占GDP的百分比）,1972,9.525938680589999
低中等收入,总生育率，每位女性的出生数,1972,5.239021204
低中等收入,GDP增长率（年百分比）,1972,6.321130586
低中等收入,商品和服务进口（占GDP的百分比）,1972,9.760875154510002
低中等收入,工业，增加值（占GDP的百分比）,1972,35.38313436
低中等收入,通货膨胀率，GDP平减指数（年百分比）,1972,6.209194002
低中等收入,出生时预期寿命，总年数,1972,56.17613567
低中等收入,人口密度 (每平方公里土地面积的人数),1972,31.35867824
低中等收入,服务业等增加值（占GDP的百分比）,1972,37.79553462
低收入,农业增加值（占GDP的百分比）,1972,
低收入,人均二氧化碳排放量 (公吨),1972,
低收入,金融部门提供的国内信贷（占GDP的百分比）,1972,13.908499270999998
低收入,人均电力消费量 (千瓦时),1972,
低收入,能源使用量（每人当量千克石油）,1972,
低收入,商品和服务出口（占GDP的百分比）,1972,
低收入,总生育率，每位女性的出生数,1972,6.602290142
低收入,GDP增长率（年百分比）,1972,
低收入,商品和服务进口（占GDP的百分比）,1972,
低收入,工业，增加值（占GDP的百分比）,1972,
低收入,通货膨胀率，GDP平减指数（年百分比）,1972,4.809316279
低收入,出生时预期寿命，总年数,1972,44.303728951800004
低收入,人口密度 (每平方公里土地面积的人数),1972,15.38846175
低收入,服务业等增加值（占GDP的百分比）,1972,
中下收入,农业增加值（占GDP的百分比）,1972,38.75140145
中下收入,人均二氧化碳排放量 (公吨),1972,0.5907725389039999
中下收入,金融部门提供的国内信贷（占GDP的百分比）,1972,28.359499468000003
中下收入,人均电力消费量 (千瓦时),1972,93.36418519
中下收入,能源使用量（每人当量千克石油）,1972,293.6038705
中下收入,商品和服务出口（占GDP的百分比）,1972,11.574121455799999
中下收入,总生育率，每位女性的出生数,1972,5.643979776
中下收入,GDP增长率（年百分比）,1972,2.267498165
中下收入,商品和服务进口（占GDP的百分比）,1972,12.286346016300001
中下收入,工业，增加值（占GDP的百分比）,1972,23.20315622
中下收入,通货膨胀率，GDP平减指数（年百分比）,1972,5.227698039
中下收入,出生时预期寿命，总年数,1972,51.82408292
中下收入,人口密度 (每平方公里土地面积的人数),1972,57.28259318
中下收入,服务业等增加值（占GDP的百分比）,1972,39.09560328
中东和北非,农业增加值（占GDP的百分比）,1972,
中东和北非,人均二氧化碳排放量 (公吨),1972,2.666537723
中东和北非,金融部门提供的国内信贷（占GDP的百分比）,1972,30.33503285
中东和北非,人均电力消费量 (千瓦时),1972,296.8236364
中东和北非,能源使用量（每人当量千克石油）,1972,463.0673089
中东和北非,商品和服务出口（占GDP的百分比）,1972,36.88554414
中东和北非,总生育率，每位女性的出生数,1972,6.502054627530001
中东和北非,GDP增长率（年百分比）,1972,15.1066979
中东和北非,商品和服务进口（占GDP的百分比）,1972,24.655117336799997
中东和北非,工业，增加值（占GDP的百分比）,1972,
中东和北非,通货膨胀率，GDP平减指数（年百分比）,1972,2.4960812303599997
中东和北非,出生时预期寿命，总年数,1972,54.16085523
中东和北非,人口密度 (每平方公里土地面积的人数),1972,13.031100690899999
中东和北非,服务业等增加值（占GDP的百分比）,1972,
中东和北非地区（不包括高收入国家）,农业增加值（占GDP的百分比）,1972,
中东和北非地区（不包括高收入国家）,人均二氧化碳排放量 (公吨),1972,1.748139421
中东和北非地区（不包括高收入国家）,金融部门提供的国内信贷（占GDP的百分比）,1972,39.429121068600004
中东和北非地区（不包括高收入国家）,人均电力消费量 (千瓦时),1972,213.4094866
中东和北非地区（不包括高收入国家）,能源使用量（每人当量千克石油）,1972,338.5481556
中东和北非地区（不包括高收入国家）,商品和服务出口（占GDP的百分比）,1972,22.11602563
中东和北非地区（不包括高收入国家）,总生育率，每位女性的出生数,1972,6.539728383
中东和北非地区（不包括高收入国家）,GDP增长率（年百分比）,1972,13.593198584000001
中东和北非地区（不包括高收入国家）,商品和服务进口（占GDP的百分比）,1972,21.759088895300003
中东和北非地区（不包括高收入国家）,工业，增加值（占GDP的百分比）,1972,
中东和北非地区（不包括高收入国家）,通货膨胀率，GDP平减指数（年百分比）,1972,2.51118791
中东和北非地区（不包括高收入国家）,出生时预期寿命，总年数,1972,53.56504601140001
中东和北非地区（不包括高收入国家）,人口密度 (每平方公里土地面积的人数),1972,15.536231
中东和北非地区（不包括高收入国家）,服务业等增加值（占GDP的百分比）,1972,
中东和北非地区（IDA和IBRD国家）,农业增加值（占GDP的百分比）,1972,16.61708686
中东和北非地区（IDA和IBRD国家）,人均二氧化碳排放量 (公吨),1972,1.747168916
中东和北非地区（IDA和IBRD国家）,金融部门提供的国内信贷（占GDP的百分比）,1972,39.429121068600004
中东和北非地区（IDA和IBRD国家）,人均电力消费量 (千瓦时),1972,213.4094866
中东和北非地区（IDA和IBRD国家）,能源使用量（每人当量千克石油）,1972,338.5481556
中东和北非地区（IDA和IBRD国家）,商品和服务出口（占GDP的百分比）,1972,22.11602563
中东和北非地区（IDA和IBRD国家）,总生育率，每位女性的出生数,1972,6.539728383
中东和北非地区（IDA和IBRD国家）,GDP增长率（年百分比）,1972,13.593198584000001
中东和北非地区（IDA和IBRD国家）,商品和服务进口（占GDP的百分比）,1972,21.759088895300003
中东和北非地区（IDA和IBRD国家）,工业，增加值（占GDP的百分比）,1972,40.0911708
中东和北非地区（IDA和IBRD国家）,通货膨胀率，GDP平减指数（年百分比）,1972,2.51118791
中东和北非地区（IDA和IBRD国家）,出生时预期寿命，总年数,1972,53.56504601140001
中东和北非地区（IDA和IBRD国家）,人口密度 (每平方公里土地面积的人数),1972,15.54705856
中东和北非地区（IDA和IBRD国家）,服务业等增加值（占GDP的百分比）,1972,43.291743259499995
中等收入,农业增加值（占GDP的百分比）,1972,26.902496755700003
中等收入,人均二氧化碳排放量 (公吨),1972,1.425181447
中等收入,金融部门提供的国内信贷（占GDP的百分比）,1972,34.515877999000004
中等收入,人均电力消费量 (千瓦时),1972,218.5013542
中等收入,能源使用量（每人当量千克石油）,1972,465.56862546400004
中等收入,商品和服务出口（占GDP的百分比）,1972,9.468979334
中等收入,总生育率，每位女性的出生数,1972,5.135919884100001
中等收入,GDP增长率（年百分比）,1972,6.414932821240001
中等收入,商品和服务进口（占GDP的百分比）,1972,9.658810159660002
中等收入,工业，增加值（占GDP的百分比）,1972,35.52658806
中等收入,通货膨胀率，GDP平减指数（年百分比）,1972,6.4852526711300005
中等收入,出生时预期寿命，总年数,1972,57.06330496
中等收入,人口密度 (每平方公里土地面积的人数),1972,33.98561576
中等收入,服务业等增加值（占GDP的百分比）,1972,37.78787031
北美,农业增加值（占GDP的百分比）,1972,
北美,人均二氧化碳排放量 (公吨),1972,21.32560689
北美,金融部门提供的国内信贷（占GDP的百分比）,1972,113.97401915100001
北美,人均电力消费量 (千瓦时),1972,8249.726354
北美,能源使用量（每人当量千克石油）,1972,7845.45155
北美,商品和服务出口（占GDP的百分比）,1972,6.954896941
北美,总生育率，每位女性的出生数,1972,2.007067546
北美,GDP增长率（年百分比）,1972,5.279956084
北美,商品和服务进口（占GDP的百分比）,1972,7.109011726789999
北美,工业，增加值（占GDP的百分比）,1972,
北美,通货膨胀率，GDP平减指数（年百分比）,1972,5.900125270249999
北美,出生时预期寿命，总年数,1972,71.32471392
北美,人口密度 (每平方公里土地面积的人数),1972,12.70749633
北美,服务业等增加值（占GDP的百分比）,1972,
未分类,农业增加值（占GDP的百分比）,1972,
未分类,人均二氧化碳排放量 (公吨),1972,
未分类,金融部门提供的国内信贷（占GDP的百分比）,1972,
未分类,人均电力消费量 (千瓦时),1972,
未分类,能源使用量（每人当量千克石油）,1972,
未分类,商品和服务出口（占GDP的百分比）,1972,
未分类,总生育率，每位女性的出生数,1972,
未分类,GDP增长率（年百分比）,1972,
未分类,商品和服务进口（占GDP的百分比）,1972,
未分类,工业，增加值（占GDP的百分比）,1972,
未分类,通货膨胀率，GDP平减指数（年百分比）,1972,
未分类,出生时预期寿命，总年数,1972,
未分类,人口密度 (每平方公里土地面积的人数),1972,
未分类,服务业等增加值（占GDP的百分比）,1972,
经合组织成员国,农业增加值（占GDP的百分比）,1972,
经合组织成员国,人均二氧化碳排放量 (公吨),1972,10.92510976
经合组织成员国,金融部门提供的国内信贷（占GDP的百分比）,1972,94.41912193
经合组织成员国,人均电力消费量 (千瓦时),1972,4233.213626
经合组织成员国,能源使用量（每人当量千克石油）,1972,3903.279512
经合组织成员国,商品和服务出口（占GDP的百分比）,1972,13.146470391800001
经合组织成员国,总生育率，每位女性的出生数,1972,2.60982232
经合组织成员国,GDP增长率（年百分比）,1972,5.501373957009999
经合组织成员国,商品和服务进口（占GDP的百分比）,1972,13.19950916
经合组织成员国,工业，增加值（占GDP的百分比）,1972,
经合组织成员国,通货膨胀率，GDP平减指数（年百分比）,1972,7.094684733
经合组织成员国,出生时预期寿命，总年数,1972,70.08514134
经合组织成员国,人口密度 (每平方公里土地面积的人数),1972,26.56564801
经合组织成员国,服务业等增加值（占GDP的百分比）,1972,
其他小国,农业增加值（占GDP的百分比）,1972,
其他小国,人均二氧化碳排放量 (公吨),1972,4.059495816509999
其他小国,金融部门提供的国内信贷（占GDP的百分比）,1972,28.95106938
其他小国,人均电力消费量 (千瓦时),1972,
其他小国,能源使用量（每人当量千克石油）,1972,
其他小国,商品和服务出口（占GDP的百分比）,1972,
其他小国,总生育率，每位女性的出生数,1972,4.872845849
其他小国,GDP增长率（年百分比）,1972,
其他小国,商品和服务进口（占GDP的百分比）,1972,
其他小国,工业，增加值（占GDP的百分比）,1972,
其他小国,通货膨胀率，GDP平减指数（年百分比）,1972,
其他小国,出生时预期寿命，总年数,1972,55.78927358
其他小国,人口密度 (每平方公里土地面积的人数),1972,5.659749690319999
其他小国,服务业等增加值（占GDP的百分比）,1972,
太平洋岛国小国,农业增加值（占GDP的百分比）,1972,
太平洋岛国小国,人均二氧化碳排放量 (公吨),1972,0.9336272060449999
太平洋岛国小国,金融部门提供的国内信贷（占GDP的百分比）,1972,21.39265212
太平洋岛国小国,人均电力消费量 (千瓦时),1972,
太平洋岛国小国,能源使用量（每人当量千克石油）,1972,
太平洋岛国小国,商品和服务出口（占GDP的百分比）,1972,
太平洋岛国小国,总生育率，每位女性的出生数,1972,5.4075688486199995
太平洋岛国小国,GDP增长率（年百分比）,1972,
太平洋岛国小国,商品和服务进口（占GDP的百分比）,1972,
太平洋岛国小国,工业，增加值（占GDP的百分比）,1972,
太平洋岛国小国,通货膨胀率，GDP平减指数（年百分比）,1972,
太平洋岛国小国,出生时预期寿命，总年数,1972,58.91416012
太平洋岛国小国,人口密度 (每平方公里土地面积的人数),1972,19.144479796400002
太平洋岛国小国,服务业等增加值（占GDP的百分比）,1972,
后人口红利,农业增加值（占GDP的百分比）,1972,
后人口红利,人均二氧化碳排放量 (公吨),1972,11.852287860799999
后人口红利,金融部门提供的国内信贷（占GDP的百分比）,1972,96.05719152420001
后人口红利,人均电力消费量 (千瓦时),1972,4746.323498
后人口红利,能源使用量（每人当量千克石油）,1972,4305.70549
后人口红利,商品和服务出口（占GDP的百分比）,1972,14.173476891300002
后人口红利,总生育率，每位女性的出生数,1972,2.233704541
后人口红利,GDP增长率（年百分比）,1972,5.4381448
后人口红利,商品和服务进口（占GDP的百分比）,1972,14.08074607
后人口红利,工业，增加值（占GDP的百分比）,1972,
后人口红利,通货膨胀率，GDP平减指数（年百分比）,1972,6.560687309
后人口红利,出生时预期寿命，总年数,1972,71.34054592
